tdry_profile,twet_profile
272.04999999999995,270.35371278483075
272.04999999999995,270.15398867299
273.15,270.3032570083182
273.15,270.3032570083182
272.04999999999995,270.9151128795183
273.15,271.40689220407194
274.25,272.314237168498
275.34999999999997,272.29581290741476
275.34999999999997,272.09904821508474
274.84999999999997,271.9738868076358
274.84999999999997,271.9738868076358
274.84999999999997,272.17506786079616
273.15,270.9287567145352
273.75,270.72607728743213
274.25,269.9661895519147
272.54999999999995,269.00007530144416
272.04999999999995,268.6620535864075
271.45,268.1486142052022
270.95,267.8007750301742
270.95,267.68229881635995
271.45,268.029878696239
271.45,267.8865455043259
274.84999999999997,270.2236437263849
272.54999999999995,268.7539029487577
272.54999999999995,268.7539029487577
